qid,label,creator,year,country,country_clean,geo_tag,collection,location_label,lat,lon,sitelinks,pageviews_12mo,score,en_article,image
Q12418,Mona Lisa,Leonardo da Vinci,1503,France,France,France,Department of Paintings of the Louvre,"Salle des États, Louvre",48.8601,2.3354,146,2286388,100.0,Mona Lisa,http://commons.wikimedia.org/wiki/Special:FilePath/Mona%20Lisa%2C%20by%20Leonardo%20da%20Vinci%2C%20from%20C2RMF%20natural%20color.jpg
Q45585,The Starry Night,Vincent van Gogh,1889,United States,United States,United States,Museum of Modern Art,Museum of Modern Art,40.761444444,-73.977611111,76,1248413,78.3,The Starry Night,http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Gogh%20-%20Starry%20Night%20-%20Google%20Art%20Project.jpg
Q175036,Guernica,Pablo Picasso,1937,Spain,Spain,Spain,Museo Nacional Centro de Arte Reina Sofía,Museo Nacional Centro de Arte Reina Sofía,40.40857143,-3.6939961,70,980489,75.7,Guernica (Picasso),http://commons.wikimedia.org/wiki/Special:FilePath/Mural%20del%20%22Guernica%22%20de%20Picasso.jpg
Q185372,Girl with a Pearl Earring,Johannes Vermeer,1665,Netherlands,Netherlands,Netherlands,Mauritshuis,Mauritshuis,52.080388888,4.314305555,71,600916,74.0,Girl with a Pearl Earring,http://commons.wikimedia.org/wiki/Special:FilePath/1665%20Girl%20with%20a%20Pearl%20Earring.jpg
Q29530,Liberty Leading the People,Eugène Delacroix,1830,France,France,France,Department of Paintings of the Louvre,Room 700,48.8605,2.33494,67,309674,70.2,Liberty Leading the People,http://commons.wikimedia.org/wiki/Special:FilePath/La%20Libert%C3%A9%20guidant%20le%20peuple%20-%20Eug%C3%A8ne%20Delacroix%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%20129%20-%20apr%C3%A8s%20restauration%202024.jpg
Q151047,The Birth of Venus,Sandro Botticelli,1485,Italy,Italy,Italy,Uffizi Gallery,"Uffizi Gallery - Room 11-12, Botticelli's, Florence, Italy",43.768333333,11.255277777,57,528450,69.6,The Birth of Venus,http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20La%20nascita%20di%20Venere%20-%20Google%20Art%20Project%20-%20edited.jpg
Q208758,Las Meninas,Diego Velázquez,1656,Spain,Spain,Spain,Museo del Prado,Museo del Prado,40.413888888,-3.692222222,57,453515,69.0,Las Meninas,http://commons.wikimedia.org/wiki/Special:FilePath/Las%20Meninas%2C%20by%20Diego%20Vel%C3%A1zquez%2C%20from%20Prado%20in%20Google%20Earth.jpg
Q321303,The Garden of Earthly Delights,Hieronymus Bosch,1490,Spain,Spain,Spain,Museo del Prado,Museo del Prado,40.413888888,-3.692222222,49,702233,68.6,The Garden of Earthly Delights,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Garden%20of%20Earthly%20Delights%20by%20Bosch%20High%20Resolution%202.jpg
Q219831,The Night Watch,Rembrandt,1642,Netherlands,Netherlands,Netherlands,Rijksmuseum,Nightwatch hall,52.359822,4.885017,58,282910,67.3,The Night Watch,http://commons.wikimedia.org/wiki/Special:FilePath/La%20ronda%20de%20noche%2C%20por%20Rembrandt%20van%20Rijn.jpg
Q698487,The Kiss,Gustav Klimt,1907,Austria,Austria,Austria,Belvedere,Belvedere,48.191388888,16.380833333,50,424673,66.8,The Kiss (Klimt),http://commons.wikimedia.org/wiki/Special:FilePath/The%20Kiss%20-%20Gustav%20Klimt%20-%20Google%20Cultural%20Institute.jpg
Q25729,The Persistence of Memory,Salvador Dalí,1931,United States,United States,United States,Museum of Modern Art,Museum of Modern Art,40.761444444,-73.977611111,48,456541,66.5,The Persistence of Memory,
Q464782,American Gothic,Grant Wood,1930,United States,United States,United States,Art Institute of Chicago,Art Institute of Chicago,41.879444444,-87.623888888,45,545561,66.5,American Gothic,http://commons.wikimedia.org/wiki/Special:FilePath/Grant%20Wood%20-%20American%20Gothic%20%281930%29.jpg
Q311243,Wanderer above the Sea of Fog,Caspar David Friedrich,1818,Germany,Germany,Germany,Hamburger Kunsthalle,Hamburger Kunsthalle,53.555,10.003055555,48,436008,66.4,Wanderer above the Sea of Fog,http://commons.wikimedia.org/wiki/Special:FilePath/Friedrich%2C%20Caspar%20David%20-%20Wanderer%20%C3%BCber%20dem%20Nebelmeer.jpg
Q474338,Lady with an Ermine,Leonardo da Vinci,1490,Poland,Poland,Europe other,Czartoryski Museum,Czartoryski Museum,50.0646408,19.9399667,50,312563,65.5,Lady with an Ermine,http://commons.wikimedia.org/wiki/Special:FilePath/Lady%20with%20an%20Ermine%20-%20Leonardo%20da%20Vinci%20-%20Google%20Art%20Project.jpg
Q1150997,Saturn Devouring His Son,Francisco Goya,1820,Spain,Spain,Spain,Museo del Prado,Museo del Prado,40.413888888,-3.692222222,37,745875,65.5,Saturn Devouring His Son,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Goya%2C%20Saturno%20devorando%20a%20su%20hijo%20%281819-1823%29.jpg
Q328523,"Impression, Sunrise",Claude Monet,1872,France,France,France,Musée Marmottan Monet,Porto-Vecchio,41.590833333,9.279722222,52,205095,64.4,"Impression, Sunrise",http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20Impression%2C%20Sunrise.jpg
Q212616,The Raft of the Medusa,Théodore Géricault,1819,France,France,France,Department of Paintings of the Louvre,Room 700,48.8605,2.33494,47,284398,64.3,The Raft of the Medusa,http://commons.wikimedia.org/wiki/Special:FilePath/JEAN%20LOUIS%20TH%C3%89ODORE%20G%C3%89RICAULT%20-%20La%20Balsa%20de%20la%20Medusa%20%28Museo%20del%20Louvre%2C%201818-19%29.jpg
Q83872,Nighthawks,Edward Hopper,1942,United States,United States,United States,Art Institute of Chicago,Art Institute of Chicago,41.879444444,-87.623888888,38,511951,64.3,Nighthawks (Hopper),http://commons.wikimedia.org/wiki/Special:FilePath/Nighthawks%20by%20Edward%20Hopper%201942.jpg
Q334138,L'Origine du monde,Gustave Courbet,1866,France,France,France,Musée d'Orsay,Musée d'Orsay,48.859972,2.326527,51,206284,64.1,L'Origine du monde,http://commons.wikimedia.org/wiki/Special:FilePath/Origin-of-the-World.jpg
Q1752990,The Death of Socrates,Jacques-Louis David,1787,United States,United States,United States,Metropolitan Museum of Art,Metropolitan Museum of Art,40.779444444,-73.963333333,50,178590,63.3,The Death of Socrates,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Death%20of%20Socrates%20MET%20DP-13139-001.jpg
Q220859,Arnolfini Portrait,Jan van Eyck,1434,United Kingdom,United Kingdom,United Kingdom,National Gallery,Room 28 Flowers: Dutch and Flemish Painting 1600–1700,51.508888888,-0.128333333,42,310849,63.3,Arnolfini Portrait,http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Eyck%20-%20Arnolfini%20Portrait.jpg
Q636537,The Death of Marat,Jacques-Louis David,1793,Belgium,Belgium,Belgium,Royal Museums of Fine Arts of Belgium,Royal Museums of Fine Arts of Belgium,50.84168,4.358238,40,336756,63.1,The Death of Marat,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques-Louis%20David%20-%20Marat%20assassinated%20-%20Google%20Art%20Project%202.jpg
Q1091086,The Third of May 1808,Francisco Goya,1814,Spain,Spain,Spain,Museo del Prado,Museo del Prado,40.413888888,-3.692222222,45,218718,62.7,The Third of May 1808,http://commons.wikimedia.org/wiki/Special:FilePath/Francisco%20de%20Goya%20y%20Lucientes%20-%20Los%20fusilamientos%20del%20tres%20de%20mayo%20-%201814.jpg
Q1044742,A Sunday Afternoon on the Island of La Grande Jatte,Georges Seurat,1884,United States,United States,United States,Art Institute of Chicago,Art Institute of Chicago,41.879444444,-87.623888888,36,373642,62.4,A Sunday Afternoon on the Island of La Grande Jatte,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Sunday%20on%20La%20Grande%20Jatte%2C%20Georges%20Seurat%2C%201884.jpg
Q1065493,Ophelia,John Everett Millais,1851,United Kingdom,United Kingdom,United Kingdom,National Gallery,Tate Britain,51.491062,-0.127789,32,459052,62.2,Ophelia (painting),http://commons.wikimedia.org/wiki/Special:FilePath/John%20Everett%20Millais%20-%20Ophelia%20-%20Google%20Art%20Project.jpg
Q4195595,"Ivan the Terrible and his son Ivan on November 16, 1581",Ilya Repin,1883,Russia,Russia,Russia,Tretyakov Gallery,Tretyakov Gallery,55.741389,37.620864,33,406149,62.0,Ivan the Terrible and His Son Ivan,http://commons.wikimedia.org/wiki/Special:FilePath/Iv%C3%A1n%20el%20Terrible%20y%20su%20hijo%2C%20por%20Ili%C3%A1%20Repin.jpg
Q734834,Ghent Altarpiece,Hubert van Eyck,1432,Allied-occupied Germany,Germany,Germany,Solly Collection,Ghent City Hall,51.052974,3.727059,39,261436,61.8,Ghent Altarpiece,http://commons.wikimedia.org/wiki/Special:FilePath/Ghent%20Altarpiece%20Google%20Art%20Project.jpg
Q154469,The Potato Eaters,Vincent van Gogh,1885,Netherlands,Netherlands,Netherlands,Van Gogh Museum,Van Gogh Museum,52.358333333,4.881111111,53,87647,61.2,The Potato Eaters,http://commons.wikimedia.org/wiki/Special:FilePath/De%20aardappeleters%20-%20s0005V1962%20-%20Van%20Gogh%20Museum.jpg
Q478271,Reply of the Zaporozhian Cossacks,Ilya Repin,1890,Russia,Russia,Russia,Russian Museum,Russian Museum,59.938592,30.332221,45,149520,61.2,Reply of the Zaporozhian Cossacks,http://commons.wikimedia.org/wiki/Special:FilePath/Ilja%20Jefimowitsch%20Repin%20-%20Reply%20of%20the%20Zaporozhian%20Cossacks%20-%20Yorck.jpg
Q549847,Primavera,Sandro Botticelli,1480,Italy,Italy,Italy,Uffizi Gallery,Palazzo Medici Riccardi,43.775288,11.255986,42,184983,61.2,Primavera (Botticelli),http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20La%20Primavera%20-%20Google%20Art%20Project.jpg
Q1061035,The Treachery of Images,René Magritte,1929,United States,United States,United States,Los Angeles County Museum of Art,The Broad,34.0544,-118.251,32,348603,61.1,The Treachery of Images,http://commons.wikimedia.org/wiki/Special:FilePath/Magritte%20treachery.jpg
Q354396,Portrait of Adele Bloch-Bauer I,Gustav Klimt,1907,United States,United States,United States,Neue Galerie,Austria,48.0,14.0,35,268166,60.8,Portrait of Adele Bloch-Bauer I,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klimt%2C%201907%2C%20Adele%20Bloch-Bauer%20I%2C%20Neue%20Galerie%20New%20York.jpg
Q152509,Luncheon on the Grass,Édouard Manet,1863,France,France,France,Musée d'Orsay,Musée d'Orsay,48.859972,2.326527,45,134024,60.7,Le Déjeuner sur l'herbe,http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20-%20Luncheon%20on%20the%20Grass%20-%20Google%20Art%20Project.jpg
Q737062,Olympia,Édouard Manet,1863,France,France,France,Musée d'Orsay,Musée d'Orsay,48.859972,2.326527,42,158618,60.6,Olympia (Manet),http://commons.wikimedia.org/wiki/Special:FilePath/Edouard%20Manet%20-%20Olympia%20-%20Google%20Art%20Project%203.jpg
Q1025704,Café Terrace at Night,Vincent van Gogh,1888,Netherlands,Netherlands,Netherlands,Kröller-Müller Museum,Kröller-Müller Museum,52.095833333,5.816944444,40,183607,60.6,Café Terrace at Night,http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Gogh%20-%20Terrace%20of%20a%20Caf%C3%A9%20at%20Night%20%28Place%20du%20Forum%29%201888.jpg
Q910199,Les Demoiselles d'Avignon,Pablo Picasso,1907,United States,United States,United States,Museum of Modern Art,Museum of Modern Art,40.761444444,-73.977611111,36,231089,60.5,Les Demoiselles d'Avignon,
Q152867,La maja desnuda,Francisco Goya,1795,Spain,Spain,Spain,Museo del Prado,Museo del Prado,40.413888888,-3.692222222,45,125762,60.4,La maja desnuda,http://commons.wikimedia.org/wiki/Special:FilePath/Maja%20desnuda%20%28museo%20del%20Prado%29.jpg
Q476458,The Oath of the Horatii,Jacques-Louis David,1784,France,France,France,Department of Paintings of the Louvre,Room 702,48.860194444,2.336111111,41,159571,60.3,Oath of the Horatii,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Serment%20des%20Horaces%20-%20Jacques-Louis%20David%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%203692%20%3B%20MR%201432.jpg
Q661378,The Anatomy Lesson of Dr. Nicolaes Tulp,Rembrandt,1632,Netherlands,Netherlands,Netherlands,Mauritshuis,Mauritshuis,52.080388888,4.314305555,45,115251,60.1,The Anatomy Lesson of Dr. Nicolaes Tulp,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20-%20The%20Anatomy%20Lesson%20of%20Dr%20Nicolaes%20Tulp.jpg
Q1245354,A Bar at the Folies-Bergère Sharon,Édouard Manet,1882,United Kingdom,United Kingdom,United Kingdom,Courtauld Gallery,Courtauld Gallery,51.51083333,-0.11722222,39,166886,60.0,A Bar at the Folies-Bergère,http://commons.wikimedia.org/wiki/Special:FilePath/Un%20bar%20aux%20Folies-Berg%C3%A8re%20d%27E.%20Manet%20%28Fondation%20Vuitton%2C%20Paris%29%20%2833539037428%29.jpg
Q634122,Wheatfield with Crows,Vincent van Gogh,1890,Netherlands,Netherlands,Netherlands,Van Gogh Museum,Van Gogh Museum,52.358333333,4.881111111,43,118828,59.7,Wheatfield with Crows,http://commons.wikimedia.org/wiki/Special:FilePath/Korenveld%20met%20kraaien%20-%20s0149V1962%20-%20Van%20Gogh%20Museum.jpg
Q1212937,The Ambassadors,Hans Holbein the Younger,1533,United Kingdom,United Kingdom,United Kingdom,National Gallery,Room 4 The Spectacle of Portraiture: European Painting 1500–1600,51.508888888,-0.128333333,34,213221,59.6,The Ambassadors (Holbein),http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Holbein%20the%20Younger%20-%20The%20Ambassadors%20-%20Google%20Art%20Project.jpg
Q1892745,Salvator Mundi,Leonardo da Vinci,1500,United Arab Emirates,United Arab Emirates,Asia,Louvre Abu Dhabi,Doughty House,51.452086,-0.29808,49,76654,59.5,Salvator Mundi (painting),http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%2C%20Salvator%20Mundi%2C%20c.1500%2C%20oil%20on%20walnut%2C%2045.4%20%C3%97%2065.6%20cm.jpg
Q2246489,The Storm on the Sea of Galilee,Rembrandt,1633,,,,http://www.wikidata.org/.well-known/genid/96339d00960f46af8f0348af5c1d2d2b,,,,32,237766,59.5,The Storm on the Sea of Galilee,http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20Christ%20in%20the%20Storm%20on%20the%20Lake%20of%20Galilee.jpg
Q2664039,Madame X (Virginie Amélie Avegno Gautreau),John Singer Sargent,1884,United States,United States,United States,Metropolitan Museum of Art,Metropolitan Museum of Art,40.779444444,-73.963333333,26,354907,59.5,Portrait of Madame X,http://commons.wikimedia.org/wiki/Special:FilePath/Sargent%20MadameX.jpeg
Q107486133,Fallen angel,Alexandre Cabanel,1847,France,France,France,Musée Fabre,Musée Fabre,43.611736111,3.880191666,20,521740,59.4,The Fallen Angel (painting),http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Cabanel%20-%20Fallen%20Angel.jpg
Q2282256,Irises,Vincent van Gogh,1889,United States,United States,United States,J. Paul Getty Museum,Getty Center,34.0775,-118.475,43,105183,59.2,Irises (painting),http://commons.wikimedia.org/wiki/Special:FilePath/Irises-Vincent%20van%20Gogh.jpg
Q604761,The Blue Boy,Thomas Gainsborough,1770,United States,United States,United States,"The Huntington Library, Art Museum, and Botanical Gardens","The Huntington Library, Art Museum, and Botanical Gardens",34.129166666,-118.1125,38,147287,59.2,The Blue Boy,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Gainsborough%20-%20The%20Blue%20Boy%20%28c.%201770%29.jpg
Q1151384,The Son of Man,René Magritte,1964,,,,http://www.wikidata.org/.well-known/genid/7646152468744bd2a474158632f264d1,,,,24,374305,59.2,The Son of Man,
Q727875,Venus of Urbino,Titian,1538,Italy,Italy,Italy,Uffizi Gallery,Uffizi Gallery,43.768333333,11.255277777,40,122597,59.0,Venus of Urbino,http://commons.wikimedia.org/wiki/Special:FilePath/Tiziano%27s%20Venere%20di%20Urbino%20%28from%20The%20History%20BLog%29.jpg
Q167605,The Milkmaid,Johannes Vermeer,1660,Netherlands,Netherlands,Netherlands,Rijksmuseum,Gallery of Honour,52.360025,4.885286111,44,91800,58.9,The Milkmaid (Vermeer),http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20Het%20melkmeisje%20-%20Google%20Art%20Project.jpg
Q328079,Sistine Madonna,Raphael,1512,Germany,Germany,Germany,Staatliche Kunstsammlungen Dresden,Gemäldegalerie Alte Meister,51.05338,13.73466,38,127516,58.6,Sistine Madonna,http://commons.wikimedia.org/wiki/Special:FilePath/Raphael%20-%20The%20Sistine%20Madonna%20-%20Google%20Arts%20%26%20Culture.jpg
Q1926628,The Red Vineyard,Vincent van Gogh,1888,Russia,Russia,Russia,Pushkin Museum of Fine Arts,Pushkin Museum of Fine Arts,55.74702868,37.60602901,37,136433,58.6,The Red Vineyard,http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20Red%20Vineyard%20at%20Arles%20%281888%29.jpg
Q2629559,The Swing,Jean-Honoré Fragonard,1767,United Kingdom,United Kingdom,United Kingdom,Wallace Collection,Wallace Collection,51.517454,-0.153022,34,162408,58.5,The Swing (Fragonard),http://commons.wikimedia.org/wiki/Special:FilePath/Fragonard%2C%20The%20Swing.jpg
Q1231009,The Coronation of Napoleon,Jacques-Louis David,1807,France,France,France,Department of Paintings of the Louvre,Sacre Hall,48.860194444,2.336111111,38,119986,58.3,The Coronation of Napoleon,http://commons.wikimedia.org/wiki/Special:FilePath/Le%20Sacre%20de%20Napol%C3%A9on%20-%20Jacques-Louis%20David%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%203699%20%3B%20MR%201437.jpg
Q683274,Bal du moulin de la Galette,Pierre-Auguste Renoir,1876,France,France,France,Musée d'Orsay,Musée d'Orsay,48.859972,2.326527,43,81176,58.1,Bal du moulin de la Galette,http://commons.wikimedia.org/wiki/Special:FilePath/Renoir%2C%20Pierre-Auguste%20-%20Dance%20at%20Le%20Moulin%20de%20la%20Galette%2C%201876.jpg
Q687182,Whistler's Mother,James McNeill Whistler,1871,France,France,France,Musée d'Orsay,Musée d'Orsay,48.859972,2.326527,31,175012,58.0,Whistler's Mother,http://commons.wikimedia.org/wiki/Special:FilePath/Whistlers%20Mother%20high%20res.jpg
Q500985,The Hunters in the Snow,Pieter Brueghel the Elder,1565,Austria,Austria,Austria,Kunsthistorisches Museum,Kunsthistorisches Museum,48.203880555,16.3616,38,106389,57.8,The Hunters in the Snow,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20the%20Elder%20-%20Hunters%20in%20the%20Snow%20%28Winter%29%20-%20Google%20Art%20Project.jpg
Q1464531,Starry Night Over the Rhone,Vincent van Gogh,1888,Netherlands,Netherlands,Netherlands,Musée d'Orsay,Musée d'Orsay,48.859972,2.326527,38,101167,57.6,Starry Night Over the Rhône,http://commons.wikimedia.org/wiki/Special:FilePath/Vincent%20van%20Gogh%20-%20Starry%20Night%20-%20Google%20Art%20Project.jpg
Q969377,The Calling of Saint Matthew,Caravaggio,1609,Italy,Italy,Italy,San Luigi dei Francesi,Contarelli Chapel,41.89944444,12.47472222,33,137887,57.5,The Calling of Saint Matthew,http://commons.wikimedia.org/wiki/Special:FilePath/Caravaggio%20%E2%80%94%20The%20Calling%20of%20Saint%20Matthew.jpg
Q2697937,Campbell's Soup Cans,Andy Warhol,1962,United States,United States,United States,Museum of Modern Art,Museum of Modern Art,40.761444444,-73.977611111,26,211074,57.4,Campbell's Soup Cans,http://commons.wikimedia.org/wiki/Special:FilePath/Campbell%27s%20Soup%20Cans%20by%20Andy%20Warhol.jpg
Q1170315,Black Square (1915),Kazimir Malevich,1915,Russia,Russia,Russia,Tretyakov Gallery,Tretyakov Gallery,55.741389,37.620864,37,96921,57.2,Black Square,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A7%D1%91%D1%80%D0%BD%D1%8B%D0%B9%20%D1%81%D1%83%D0%BF%D1%80%D0%B5%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D0%BA%D0%B2%D0%B0%D0%B4%D1%80%D0%B0%D1%82.%201915.%20%D0%93%D0%A2%D0%93.png
Q6609268,Stańczyk,Jan Matejko,1862,Poland,Poland,Europe other,National Museum in Warsaw,National Museum in Warsaw,52.231666666,21.024722222,21,265746,56.9,Stańczyk (painting),http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Matejko%20-%20Sta%C5%84czyk%20-%20Google%20Art%20Project.jpg
Q1267893,Ginevra de' Benci,Leonardo da Vinci,1476,United States,United States,United States,"National Gallery of Art (Washington, D.C.)","National Gallery of Art (Washington, D.C.)",38.891388888,-77.02,40,72341,56.8,Ginevra de' Benci,http://commons.wikimedia.org/wiki/Special:FilePath/Ginevra%20de%27%20Benci%20-%20National%20Gallery%20of%20Art.jpg
Q2465911,Christina's World,Andrew Wyeth,1948,United States,United States,United States,Museum of Modern Art,United States,39.828175,-98.5795,22,242818,56.8,Christina's World,
Q533619,Netherlandish Proverbs,Pieter Brueghel the Elder,1559,Germany,Germany,Germany,Gemäldegalerie Berlin,Dutch paintings 15th-16th-century room 7,52.508611111,13.364722222,37,81314,56.5,Netherlandish Proverbs,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20%28der%20%C3%84ltere%29%20%28ca.%201525%20-%201569%29%20-%20Die%20niederl%C3%A4ndischen%20Sprichw%C3%B6rter%20-%201720%20-%20Gem%C3%A4ldegalerie.jpg
Q500554,At Eternity's Gate,Vincent van Gogh,1890,Netherlands,Netherlands,Netherlands,Kröller-Müller Museum,Kröller-Müller Museum,52.095833333,5.816944444,29,131512,56.2,At Eternity's Gate,http://commons.wikimedia.org/wiki/Special:FilePath/At%20Eternity%27s%20Gate%20-%20Vincent%20Van%20Gogh.jpg
Q6592831,The Problem We All Live With,Norman Rockwell,1965,United States,United States,United States,Norman Rockwell Museum,Norman Rockwell Museum,42.287917,-73.335864,16,304341,56.1,The Problem We All Live With,
Q644856,The Triumph of Death,Pieter Brueghel the Elder,1560,Spain,Spain,Spain,Museo del Prado,Museo del Prado,40.413888888,-3.692222222,31,106514,55.9,The Triumph of Death,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Triumph%20of%20Death%20by%20Pieter%20Bruegel%20the%20Elder.jpg
Q512755,The Return of the Prodigal Son,Rembrandt,1668,Russia,Russia,Russia,Hermitage Museum,Hermitage Museum,59.940555555,30.313611111,30,113287,55.9,The Return of the Prodigal Son (Rembrandt),http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%20Harmensz%20van%20Rijn%20-%20Return%20of%20the%20Prodigal%20Son%20-%20Google%20Art%20Project.jpg
Q2366825,The Hay Wain,John Constable,1821,United Kingdom,United Kingdom,United Kingdom,National Gallery,National Gallery,51.508888888,-0.128333333,30,113840,55.9,The Hay Wain,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Constable%20-%20The%20Hay%20Wain%20%281821%29.jpg
Q185255,The Wedding at Cana,Paolo Veronese,1560,France,France,France,Department of Paintings of the Louvre,"Salle des États, Louvre",48.8601,2.3354,31,104418,55.8,The Wedding at Cana (Veronese),http://commons.wikimedia.org/wiki/Special:FilePath/Les%20Noces%20de%20Cana%20-%20Paolo%20Veronese%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%20142%20%3B%20MR%20384.jpg
Q2470123,Judith Beheading Holofernes,Caravaggio,1599,Italy,Italy,Italy,Galleria Nazionale d'Arte Antica,Palazzo Barberini,41.903324209,12.489856069,29,117221,55.8,Judith Beheading Holofernes (Caravaggio),http://commons.wikimedia.org/wiki/Special:FilePath/Judith%20Beheading%20Holofernes%20-%20Caravaggio.jpg
Q1247110,Landscape with the Fall of Icarus,http://www.wikidata.org/.well-known/genid/20e9cd436e0998b3d9617764a486424c,2000,Belgium,Belgium,Belgium,Royal Museums of Fine Arts of Belgium,Oldmasters Museum,50.84168,4.358241,25,150175,55.7,Landscape with the Fall of Icarus,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20the%20Elder%20-%20Landscape%20with%20the%20Fall%20of%20Icarus%20-%20Brussels%2C%20Royal%20Museums%20of%20Fine%20Arts%20of%20Belgium%20-%20Google%20Arts%20%26%20Culture.jpg
Q1978815,Grande Odalisque,Jean-Auguste-Dominique Ingres,1810,France,France,France,Department of Paintings of the Louvre,Room 702,48.860194444,2.336111111,34,79820,55.6,Grande Odalisque,http://commons.wikimedia.org/wiki/Special:FilePath/La%20grande%20odalisque%20-%20Jean-Auguste%20Dominique%20Ingres%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20RF%201158.jpg
Q1167907,Luncheon of the Boating Party,Pierre-Auguste Renoir,1880,United States,United States,United States,The Phillips Collection,The Phillips Collection,38.911388888,-77.046805555,29,110902,55.5,Luncheon of the Boating Party,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre-Auguste%20Renoir%20-%20Luncheon%20of%20the%20Boating%20Party%20-%20Google%20Art%20Project.jpg
Q563727,The Virgin and Child with Saint Anne,Leonardo da Vinci,1511,France,France,France,Department of Paintings of the Louvre,Room 710,,,38,57209,55.3,The Virgin and Child with Saint Anne (Leonardo),http://commons.wikimedia.org/wiki/Special:FilePath/Sainte%20Anne%20Leonard.jpg
Q2317837,The Nightmare,Henry Fuseli,1781,United States,United States,United States,Detroit Institute of Arts,Switzerland,46.798562,8.231973,23,154815,55.3,The Nightmare,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Henry%20Fuseli%20-%20The%20Nightmare.JPG
Q783215,Saint John the Baptist,Leonardo da Vinci,1514,France,France,France,Department of Paintings of the Louvre,Louvre Museum,48.861111111,2.335833333,35,67129,55.1,Saint John the Baptist (Leonardo),http://commons.wikimedia.org/wiki/Special:FilePath/Leonardo%20da%20Vinci%20-%20Saint%20John%20the%20Baptist%20C2RMF%20retouched.jpg
Q523974,View of Delft,Johannes Vermeer,1661,Netherlands,Netherlands,Netherlands,Mauritshuis,Mauritshuis,52.080388888,4.314305555,40,45006,54.9,View of Delft,http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Vermeer%20-%20View%20of%20Delft%20-%2092%20-%20Mauritshuis.jpg
Q509806,Washington Crossing the Delaware,Emanuel Leutze,1851,United States,United States,United States,Metropolitan Museum of Art,Metropolitan Museum of Art,40.779444444,-73.963333333,24,127028,54.7,Washington Crossing the Delaware (1851 paintings),http://commons.wikimedia.org/wiki/Special:FilePath/Washington%20Crossing%20the%20Delaware%20MET%20DP215410.jpg
Q257580,The Fighting Temeraire,J. M. W. Turner,1839,United Kingdom,United Kingdom,United Kingdom,National Gallery,National Gallery,51.508888888,-0.128333333,23,128554,54.5,The Fighting Temeraire,http://commons.wikimedia.org/wiki/Special:FilePath/Turner%2C%20J.%20M.%20W.%20-%20The%20Fighting%20T%C3%A9m%C3%A9raire%20tugged%20to%20her%20last%20Berth%20to%20be%20broken.jpg
Q13726073,The Goldfinch,Carel Fabritius,1654,Netherlands,Netherlands,Netherlands,Mauritshuis,Mauritshuis,52.080388888,4.314305555,20,158539,54.5,The Goldfinch (painting),http://commons.wikimedia.org/wiki/Special:FilePath/Carel%20Fabritius%20-%20The%20Goldfinch%20-%20605%20-%20Mauritshuis.jpg
