qid,label,creator,year,country,country_clean,geo_tag,collection,location_label,lat,lon,sitelinks,pageviews_12mo,score,en_article,image
Q3835761,Le Chahut,Georges Seurat,1889,Netherlands,Netherlands,Netherlands,Kröller-Müller Museum,Kröller-Müller Museum,52.095833333,5.816944444,13,9043,40.9,Le Chahut,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Seurat%2C%201889-90%2C%20Le%20Chahut%2C%20Kr%C3%B6ller-M%C3%BCller%20Museum.jpg
Q28442857,Portrait of a Lady,Gustav Klimt,1910,Italy,Italy,Italy,Galleria d'arte moderna Ricci Oddi,Galleria d'arte moderna Ricci Oddi,45.048746,9.692288,13,8959,40.9,Portrait of a Lady (Klimt),http://commons.wikimedia.org/wiki/Special:FilePath/Gustav-Klimt%2C%20Portrait%20of%20a%20Lady%2C%201917%2C%20Galleria%20d%27Arte%20Moderna%20Ricci%20Oddi.jpg
Q1134281,Ezekiel's Vision,Raphael,1518,Italy,Italy,Italy,Galleria Palatina,Galleria Palatina,43.7652,11.25,12,9790,40.9,Ezekiel's Vision (Raphael),http://commons.wikimedia.org/wiki/Special:FilePath/Raffaello%20-%20Visione%20di%20Ezechiele.jpg
Q1571678,Le pigeon aux petits pois,Pablo Picasso,1911,France,France,France,Musée d'art moderne de Paris,Palais de Tokyo,48.86408,2.29713,12,9722,40.9,Le pigeon aux petits pois,
Q2272625,The Cornfield,John Constable,1826,United Kingdom,United Kingdom,United Kingdom,National Gallery,National Gallery,51.508888888,-0.128333333,12,9648,40.9,The Cornfield,http://commons.wikimedia.org/wiki/Special:FilePath/Constable%20-%20The%20Cornfield.jpg
Q3930498,The Rape of Ganymede,Peter Paul Rubens,1637,Spain,Spain,Spain,Museo del Prado,Museo del Prado,40.413888888,-3.692222222,12,9767,40.9,The Rape of Ganymede (Rubens),http://commons.wikimedia.org/wiki/Special:FilePath/Ganyrubn.jpg
Q7840471,The Tribuna of the Uffizi,Johann Zoffany,1774,United Kingdom,United Kingdom,United Kingdom,Royal Collection,King's Gallery,51.4998,-0.142408,12,9798,40.9,The Tribuna of the Uffizi (Zoffany),http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Zoffany%20-%20Tribuna%20of%20the%20Uffizi%20-%20Google%20Art%20Project.jpg
Q698254,The Return of the Herd,Pieter Brueghel the Elder,1565,Austria,Austria,Austria,Kunsthistorisches Museum,Kunsthistorisches Museum,48.203880555,16.3616,20,5584,40.8,The Return of the Herd,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Bruegel%20d.%20%C3%84.%2C%20%2C%20Kunsthistorisches%20Museum%20Wien%2C%20Gem%C3%A4ldegalerie%20-%20Heimkehr%20der%20Herde%20%28Herbst%29%20-%20GG%201018%20-%20Kunsthistorisches%20Museum.jpg
Q2354033,Religious Procession in Kursk Province,Ilya Repin,1880,Russia,Russia,Russia,Tretyakov Gallery,Tretyakov Gallery,55.741389,37.620864,17,6710,40.8,Religious Procession in Kursk Governorate,http://commons.wikimedia.org/wiki/Special:FilePath/Ilya%20Repin%20-%20%D0%9A%D1%80%D0%B5%D1%81%D1%82%D0%BD%D1%8B%D0%B9%20%D1%85%D0%BE%D0%B4%20%D0%B2%20%D0%9A%D1%83%D1%80%D1%81%D0%BA%D0%BE%D0%B9%20%D0%B3%D1%83%D0%B1%D0%B5%D1%80%D0%BD%D0%B8%D0%B8%20-%20Google%20Art%20Project.jpg
Q2415259,Saint Michael Vanquishing Satan,Raphael,1504,France,France,France,Department of Paintings of the Louvre,Room 710,,,14,8259,40.8,Saint Michael (Raphael),http://commons.wikimedia.org/wiki/Special:FilePath/Saint%20Michel%20et%20le%20Dragon%20-%20Rapha%C3%ABl%20-%20Mus%C3%A9e%20du%20Louvre%20Peintures%20INV%20608%20%3B%20MR%20439.jpg
Q1115514,The Story of Lucretia,Sandro Botticelli,1500,United States,United States,United States,Isabella Stewart Gardner Museum,Isabella Stewart Gardner Museum,42.33818,-71.099121,13,8842,40.8,The Story of Lucretia (Botticelli),http://commons.wikimedia.org/wiki/Special:FilePath/Sandro%20Botticelli%20-%20The%20Story%20of%20Lucretia%20-%20P16e20%20-%20Isabella%20Stewart%20Gardner%20Museum.jpg
Q2446983,Scenes from the Passion of Christ,Hans Memling,1470,Italy,Italy,Italy,Galleria Sabauda,Galleria Sabauda,45.07412,7.68618,13,8843,40.8,Scenes from the Passion of Christ,http://commons.wikimedia.org/wiki/Special:FilePath/Hans%20Memling%20Passione.jpg
Q28666504,Pool in a Harem,Jean-Léon Gérôme,1876,Russia,Russia,Russia,Hermitage Museum,Hermitage Museum,59.940555555,30.313611111,13,8879,40.8,Pool in a Harem,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-L%C3%A9on%20G%C3%A9r%C3%B4me%20-%20Pool%20in%20a%20Harem.jpg
Q4518897,Black Circle,Kazimir Malevich,1924,Russia,Russia,Russia,Russian Museum,Russian Museum,59.938592,30.332221,12,9495,40.8,Black Circle,http://commons.wikimedia.org/wiki/Special:FilePath/Black%20circle.jpg
